bench, mem, temp, row_size, row_count, col_count, cycles
q1, d, -, 64, 32768, 4, 581637
q1, c, -, 64, 32768, 4, 172693
q1, r, c, 64, 32768, 4, 352880
q1, r, h, 64, 32768, 4, 352010
q1, d, -, 64, 32768, 4, 562029
q1, c, -, 64, 32768, 4, 175085
q1, r, c, 64, 32768, 4, 352584
q1, r, h, 64, 32768, 4, 377680
q1, d, -, 64, 32768, 4, 918545
q1, c, -, 64, 32768, 4, 171654
q1, r, c, 64, 32768, 4, 353011
q1, r, h, 64, 32768, 4, 350926
q1, d, -, 64, 32768, 4, 573494
q1, c, -, 64, 32768, 4, 170101
q1, r, c, 64, 32768, 4, 353268
q1, r, h, 64, 32768, 4, 350115
q1, d, -, 64, 32768, 4, 560430
q1, c, -, 64, 32768, 4, 171861
q1, r, c, 64, 32768, 4, 352324
q1, r, h, 64, 32768, 4, 350086
q1, d, -, 64, 32768, 4, 560366
q1, c, -, 64, 32768, 4, 170130
q1, r, c, 64, 32768, 4, 372623
q1, r, h, 64, 32768, 4, 350559
q1, d, -, 64, 32768, 4, 561112
q1, c, -, 64, 32768, 4, 170697
q1, r, c, 64, 32768, 4, 353079
q1, r, h, 64, 32768, 4, 350732
q1, d, -, 64, 32768, 4, 561733
q1, c, -, 64, 32768, 4, 170869
q1, r, c, 64, 32768, 4, 352367
q1, r, h, 64, 32768, 4, 350555
q1, d, -, 64, 32768, 4, 561020
q1, c, -, 64, 32768, 4, 170500
q1, r, c, 64, 32768, 4, 353440
q1, r, h, 64, 32768, 4, 351633
q1, d, -, 64, 32768, 4, 561856
q1, c, -, 64, 32768, 4, 171452
q1, r, c, 64, 32768, 4, 353497
q1, r, h, 64, 32768, 4, 355110
q1, d, -, 64, 32768, 4, 575524
q1, c, -, 64, 32768, 4, 173504
q1, r, c, 64, 32768, 4, 355094
q1, r, h, 64, 32768, 4, 353712
q1, d, -, 64, 32768, 4, 560841
q1, c, -, 64, 32768, 4, 172099
q1, r, c, 64, 32768, 4, 362323
q1, r, h, 64, 32768, 4, 350348
q1, d, -, 64, 32768, 4, 587095
q1, c, -, 64, 32768, 4, 174197
q1, r, c, 64, 32768, 4, 353058
q1, r, h, 64, 32768, 4, 350412
q1, d, -, 64, 32768, 4, 560476
q1, c, -, 64, 32768, 4, 172301
q1, r, c, 64, 32768, 4, 354970
q1, r, h, 64, 32768, 4, 357541
q1, d, -, 64, 32768, 4, 562156
q1, c, -, 64, 32768, 4, 169834
q1, r, c, 64, 32768, 4, 352636
q1, r, h, 64, 32768, 4, 349814
q1, d, -, 64, 32768, 4, 560739
q1, c, -, 64, 32768, 4, 170679
q1, r, c, 64, 32768, 4, 357216
q1, r, h, 64, 32768, 4, 356682
q1, d, -, 64, 32768, 4, 562784
q1, c, -, 64, 32768, 4, 171066
q1, r, c, 64, 32768, 4, 357663
q1, r, h, 64, 32768, 4, 352096
q1, d, -, 64, 32768, 4, 585992
q1, c, -, 64, 32768, 4, 171709
q1, r, c, 64, 32768, 4, 350757
q1, r, h, 64, 32768, 4, 350992
q1, d, -, 64, 32768, 4, 566670
q1, c, -, 64, 32768, 4, 171624
q1, r, c, 64, 32768, 4, 353426
q1, r, h, 64, 32768, 4, 350015
q1, d, -, 64, 32768, 4, 566220
q1, c, -, 64, 32768, 4, 170392
q1, r, c, 64, 32768, 4, 372717
q1, r, h, 64, 32768, 4, 362457
q1, d, -, 64, 32768, 4, 562142
q1, c, -, 64, 32768, 4, 171172
q1, r, c, 64, 32768, 4, 354875
q1, r, h, 64, 32768, 4, 351558
q1, d, -, 64, 32768, 4, 561387
q1, c, -, 64, 32768, 4, 169394
q1, r, c, 64, 32768, 4, 353371
q1, r, h, 64, 32768, 4, 349772
q1, d, -, 64, 32768, 4, 582003
