q1, r, c, 1024, 32768, 5, 352170
q1, r, h, 1024, 32768, 5, 349879
q1, d, -, 1024, 32768, 5, 941732
q1, c, -, 1024, 32768, 5, 170156
q1, r, c, 1024, 32768, 5, 353002
q1, r, h, 1024, 32768, 5, 350989
q1, d, -, 1024, 32768, 5, 944449
q1, c, -, 1024, 32768, 5, 171029
q1, r, c, 1024, 32768, 5, 352753
q1, r, h, 1024, 32768, 5, 351184
q1, d, -, 1024, 32768, 5, 942094
q1, c, -, 1024, 32768, 5, 171101
q1, r, c, 1024, 32768, 5, 353154
q1, r, h, 1024, 32768, 5, 353458
q1, d, -, 1024, 32768, 5, 941106
q1, c, -, 1024, 32768, 5, 171573
q1, r, c, 1024, 32768, 5, 350788
q1, r, h, 1024, 32768, 5, 351210
q1, d, -, 1024, 32768, 5, 950439
q1, c, -, 1024, 32768, 5, 169850
q1, r, c, 1024, 32768, 5, 352246
q1, r, h, 1024, 32768, 5, 349029
q1, d, -, 1024, 32768, 5, 944310
q1, c, -, 1024, 32768, 5, 170461
q1, r, c, 1024, 32768, 5, 352255
q1, r, h, 1024, 32768, 5, 361066
q1, d, -, 1024, 32768, 5, 941977
q1, c, -, 1024, 32768, 5, 170305
q1, r, c, 1024, 32768, 5, 352243
q1, r, h, 1024, 32768, 5, 349501
q1, d, -, 1024, 32768, 5, 947511
q1, c, -, 1024, 32768, 5, 170588
q1, r, c, 1024, 32768, 5, 352277
q1, r, h, 1024, 32768, 5, 349497
q1, d, -, 1024, 32768, 5, 942194
q1, c, -, 1024, 32768, 5, 171090
q1, r, c, 1024, 32768, 5, 353304
q1, r, h, 1024, 32768, 5, 358376
q1, d, -, 1024, 32768, 5, 941882
q1, c, -, 1024, 32768, 5, 171326
q1, r, c, 1024, 32768, 5, 358222
q1, r, h, 1024, 32768, 5, 351338
q1, d, -, 1024, 32768, 5, 946054
q1, c, -, 1024, 32768, 5, 171786
q1, r, c, 1024, 32768, 5, 353217
q1, r, h, 1024, 32768, 5, 352023
q1, d, -, 1024, 32768, 5, 941495
q1, c, -, 1024, 32768, 5, 171141
q1, r, c, 1024, 32768, 5, 356557
q1, r, h, 1024, 32768, 5, 350417
q1, d, -, 1024, 32768, 5, 941821
q1, c, -, 1024, 32768, 5, 171658
q1, r, c, 1024, 32768, 5, 353382
q1, r, h, 1024, 32768, 5, 353039
q1, d, -, 1024, 32768, 5, 941601
q1, c, -, 1024, 32768, 5, 172450
q1, r, c, 1024, 32768, 5, 352964
q1, r, h, 1024, 32768, 5, 350438
q1, d, -, 1024, 32768, 5, 947756
q1, c, -, 1024, 32768, 5, 170003
q1, r, c, 1024, 32768, 6, 416776
q1, r, h, 1024, 32768, 6, 414123
q1, d, -, 1024, 32768, 6, 1058844
q1, c, -, 1024, 32768, 6, 170474
q1, r, c, 1024, 32768, 6, 417958
q1, r, h, 1024, 32768, 6, 413960
q1, d, -, 1024, 32768, 6, 1058891
q1, c, -, 1024, 32768, 6, 171334
q1, r, c, 1024, 32768, 6, 415964
q1, r, h, 1024, 32768, 6, 413627
q1, d, -, 1024, 32768, 6, 1059410
q1, c, -, 1024, 32768, 6, 170225
q1, r, c, 1024, 32768, 6, 417991
q1, r, h, 1024, 32768, 6, 414485
q1, d, -, 1024, 32768, 6, 1064705
q1, c, -, 1024, 32768, 6, 170261
q1, r, c, 1024, 32768, 6, 416258
q1, r, h, 1024, 32768, 6, 414252
q1, d, -, 1024, 32768, 6, 1059020
q1, c, -, 1024, 32768, 6, 171375
q1, r, c, 1024, 32768, 6, 416893
q1, r, h, 1024, 32768, 6, 414543
q1, d, -, 1024, 32768, 6, 1065882
q1, c, -, 1024, 32768, 6, 172961
q1, r, c, 1024, 32768, 6, 429848
q1, r, h, 1024, 32768, 6, 414334
q1, d, -, 1024, 32768, 6, 1061320
q1, c, -, 1024, 32768, 6, 170065
q1, r, c, 1024, 32768, 6, 416571
q1, r, h, 1024, 32768, 6, 420610
q1, d, -, 1024, 32768, 6, 1060122
q1, c, -, 1024, 32768, 6, 170339
q1, r, c, 1024, 32768, 6, 416612
q1, r, h, 1024, 32768, 6, 502922
q1, d, -, 1024, 32768, 6, 1058384
