bench, mem, temp, row_size, row_count, col_width, offset, cycles, v3
q1, d, h, 64, 32768, 8, 0, 85362
q1, r, c, 64, 32768, 8, 0, 874688
q1, d, c, 64, 32768, 8, 0, 86561
q1, r, h, 64, 32768, 8, 0, 50669
q1, d, h, 64, 32768, 8, 0, 89327
q1, r, c, 64, 32768, 8, 0, 874734
q1, d, c, 64, 32768, 8, 0, 86441
q1, r, h, 64, 32768, 8, 0, 50638
q1, d, h, 64, 32768, 8, 0, 87898
q1, r, c, 64, 32768, 8, 0, 874843
q1, d, c, 64, 32768, 8, 0, 88081
q1, r, h, 64, 32768, 8, 0, 50645
q1, d, h, 64, 32768, 8, 0, 88109
q1, r, c, 64, 32768, 8, 0, 874729
q1, d, c, 64, 32768, 8, 0, 87714
q1, r, h, 64, 32768, 8, 0, 50639
q1, d, h, 64, 32768, 8, 0, 85426
q1, r, c, 64, 32768, 8, 0, 874780
q1, d, c, 64, 32768, 8, 0, 86202
q1, r, h, 64, 32768, 8, 0, 50673
q1, d, h, 64, 32768, 8, 0, 85334
q1, r, c, 64, 32768, 8, 0, 874657
q1, d, c, 64, 32768, 8, 0, 86297
q1, r, h, 64, 32768, 8, 0, 50647
q1, d, h, 64, 32768, 8, 0, 85667
q1, r, c, 64, 32768, 8, 0, 874716
q1, d, c, 64, 32768, 8, 0, 86137
q1, r, h, 64, 32768, 8, 0, 50640
q1, d, h, 64, 32768, 8, 0, 85569
q1, r, c, 64, 32768, 8, 0, 874689
q1, d, c, 64, 32768, 8, 0, 86010
q1, r, h, 64, 32768, 8, 0, 50669
q1, d, h, 64, 32768, 8, 0, 112945
q1, r, c, 64, 32768, 8, 0, 874730
q1, d, c, 64, 32768, 8, 0, 86498
q1, r, h, 64, 32768, 8, 0, 50646
q1, d, h, 64, 32768, 8, 0, 90531
q1, r, c, 64, 32768, 8, 0, 874741
q1, d, c, 64, 32768, 8, 0, 86058
q1, r, h, 64, 32768, 8, 0, 50674
q1, d, h, 64, 32768, 8, 0, 85554
q1, r, c, 64, 32768, 8, 0, 874656
q1, d, c, 64, 32768, 8, 0, 86027
q1, r, h, 64, 32768, 8, 0, 50616
q1, d, h, 64, 32768, 8, 0, 85848
q1, r, c, 64, 32768, 16, 0, 874670
q1, d, c, 64, 32768, 16, 0, 87891
q1, r, h, 64, 32768, 16, 0, 54977
q1, d, h, 64, 32768, 16, 0, 87750
q1, r, c, 64, 32768, 16, 0, 874737
q1, d, c, 64, 32768, 16, 0, 89184
q1, r, h, 64, 32768, 16, 0, 54954
q1, d, h, 64, 32768, 16, 0, 88038
q1, r, c, 64, 32768, 16, 0, 874689
q1, d, c, 64, 32768, 16, 0, 91281
q1, r, h, 64, 32768, 16, 0, 54983
q1, d, h, 64, 32768, 16, 0, 91071
q1, r, c, 64, 32768, 16, 0, 874743
q1, d, c, 64, 32768, 16, 0, 88639
q1, r, h, 64, 32768, 16, 0, 54969
q1, d, h, 64, 32768, 16, 0, 111246
q1, r, c, 64, 32768, 16, 0, 874668
q1, d, c, 64, 32768, 16, 0, 87808
q1, r, h, 64, 32768, 16, 0, 58253
q1, d, h, 64, 32768, 16, 0, 87706
q1, r, c, 64, 32768, 16, 0, 874663
q1, d, c, 64, 32768, 16, 0, 87401
q1, r, h, 64, 32768, 16, 0, 54961
q1, d, h, 64, 32768, 16, 0, 87551
q1, r, c, 64, 32768, 16, 0, 874741
q1, d, c, 64, 32768, 16, 0, 87967
q1, r, h, 64, 32768, 16, 0, 54966
q1, d, h, 64, 32768, 16, 0, 87304
q1, r, c, 64, 32768, 16, 0, 874741
q1, d, c, 64, 32768, 16, 0, 87696
q1, r, h, 64, 32768, 16, 0, 54968
q1, d, h, 64, 32768, 16, 0, 87643
q1, r, c, 64, 32768, 16, 0, 874724
q1, d, c, 64, 32768, 16, 0, 87797
q1, r, h, 64, 32768, 16, 0, 54958
q1, d, h, 64, 32768, 16, 0, 87630
q1, r, c, 64, 32768, 16, 0, 874728
q1, d, c, 64, 32768, 16, 0, 88029
q1, r, h, 64, 32768, 16, 0, 54973
q1, d, h, 64, 32768, 16, 0, 87029
q1, r, c, 64, 32768, 16, 0, 874651
q1, d, c, 64, 32768, 16, 0, 87647
q1, r, h, 64, 32768, 16, 0, 54963
q1, d, h, 64, 32768, 16, 0, 87398
q1, r, c, 64, 32768, 16, 0, 874759
q1, d, c, 64, 32768, 16, 0, 90578
q1, r, h, 64, 32768, 16, 0, 54971
q1, d, h, 64, 32768, 16, 0, 87420
q1, r, c, 64, 32768, 16, 0, 874795
q1, d, c, 64, 32768, 16, 0, 87538
q1, r, h, 64, 32768, 16, 0, 54972
q1, d, h, 64, 32768, 16, 0, 87561
q1, r, c, 64, 32768, 16, 0, 874744
q1, d, c, 64, 32768, 16, 0, 87351
q1, r, h, 64, 32768, 16, 0, 54979
q1, d, h, 64, 32768, 16, 0, 87917
q1, r, c, 64, 32768, 16, 0, 874863
q1, d, c, 64, 32768, 16, 0, 87705
q1, r, h, 64, 32768, 16, 0, 54980
q1, d, h, 64, 32768, 16, 0, 90163
q1, r, c, 64, 32768, 16, 0, 874780
q1, d, c, 64, 32768, 16, 0, 87940
q1, r, h, 64, 32768, 16, 0, 54978
q1, d, h, 64, 32768, 16, 0, 87817
q1, r, c, 64, 32768, 16, 0, 874861
q1, d, c, 64, 32768, 16, 0, 88110
q1, r, h, 64, 32768, 16, 0, 54956
q1, d, h, 64, 32768, 16, 0, 92536
q1, r, c, 64, 32768, 16, 0, 874749
q1, d, c, 64, 32768, 16, 0, 88158
q1, r, h, 64, 32768, 16, 0, 54958
q1, d, h, 64, 32768, 16, 0, 87741
q1, r, c, 64, 32768, 16, 0, 874816
q1, d, c, 64, 32768, 16, 0, 88150
q1, r, h, 64, 32768, 16, 0, 54970
q1, d, h, 64, 32768, 16, 0, 90529
q1, r, c, 64, 32768, 16, 0, 874877
q1, d, c, 64, 32768, 16, 0, 95128
q1, r, h, 64, 32768, 16, 0, 54979
q1, d, h, 64, 32768, 16, 0, 88031
q1, r, c, 64, 32768, 16, 0, 874680
q1, d, c, 64, 32768, 16, 0, 87864
q1, r, h, 64, 32768, 16, 0, 54998
q1, d, h, 64, 32768, 16, 0, 87453
q1, r, c, 64, 32768, 16, 0, 874832
q1, d, c, 64, 32768, 16, 0, 87531
q1, r, h, 64, 32768, 16, 0, 54960
q1, d, h, 64, 32768, 16, 0, 116332
q1, r, c, 64, 32768, 16, 0, 874735
q1, d, c, 64, 32768, 16, 0, 87991
q1, r, h, 64, 32768, 16, 0, 54981
q1, d, h, 64, 32768, 16, 0, 87361
q1, r, c, 64, 32768, 16, 0, 874723
q1, d, c, 64, 32768, 16, 0, 87963
q1, r, h, 64, 32768, 16, 0, 54974
q1, d, h, 64, 32768, 16, 0, 87921
q1, r, c, 64, 32768, 16, 0, 874957
q1, d, c, 64, 32768, 16, 0, 87963
q1, r, h, 64, 32768, 16, 0, 54963
